text	labels
What a great upbeat book that still covers the struggles of a child of a divorced family, living in poverty, and being of a mixed race.  Great great read with a great ending that wasn't to unbelievable.  It left you with a good feeling even though the struggles of the children were very real.  Great life lessons as well as cultural lessons in this book	1
I visit England frequently.  I have an earlier edition of this book which I find to be very useful, even now.  The new version leaves out a lot of the good places that were in the old book and it lacks credibility.  I have a hard time taking any of it seriously when it tells me that an English pint is 16 ounces.  Anyone who is serious about English beer knows that an English pint is 20 ounces	0
This unusual love story, set with the background of war and rainy london is beautiful and intoxicating.  The characters are palpable and beautiful both in their strengths and thoughts.  an engrossing book (i couldn't put it down, yet i dreaded the end) that should be read by anyone in search of beauty or life	1
"For years, I had heard the Akashic Records being touted as the unwritten spiritual book of life, that included every event, every living soul who had ever taken a breath from the beginning of time through eternity. The subject was beyond fascinating, as my limited mortal mind could not grasp the enormity of such a body of knowledge ""existing"".However, I took it on absolute faith that this was so and recently endeavored to find the quintessential book on the subject. Knowing of Mr. Cayce's tremendous psychic following, I assumed this book would enlighten me and others. I excitedly bought a new copy for myself and sent another to a friend.After trudging through the first 68 pages, I felt lost and befuddled. The writing and text are difficult to follow and not at all in ""layperson's"" language.Perhaps this book is meant for an experienced psychic mind and intellect, one who understands the language and is willing to muddle through the long-winded case histories to discover meaning and relevance.My friend confessed she had read a mere chapter or two, then set it aside.Pie DumasAuthor & Life Coach"	0
"Oh dear. This is another book like the horrible ""Who Moved My Cheese?"" that attempts to manipulate grown adults by treating them like children.Like the aforementioned ""Who thinks my cheese stinks?"" (or whatever it is called), I saw some people in the organisation where I work trying to sneakily weave it into the corporate culture and it lasted about five days.It's all about making work ""FUN"". Yep, work can be ""FUN"". Tell that to the folks who work in hospital waste disposal. Or maybe those who deal with animal cruelty cases.Of course, it's just great ""FUN"" to deal with children who have just had their parents killed, or folks who just lost their kids.Because that's what work is - ""FUN"" - or so this book would have you believe you can convince your workers.Of course in the examples I have listed above, it doesn't really work too well, because this is really about getting people in perceived lower-end occupations like factories or call-centres to believe their mind-numbing daily tasks can be ""FUN"".Myself, I do have some ""FUN"" at work, but probably like many people with more than one brain cell, it is based on having a laugh with my co-workers about the sheer absurdity of where our work life often takes us.You can call this cynicism, which is probably how it would be viewed by people who buy into this dumb ""Fish""-style ""WORK MUST BE FUN"" philosophy. I'd call it black humour, but it keeps people sane and makes difficult work more bearable.As to the title of my review - this method of making the workplace ""FUN"" in a forced way is very useful if you have employees that you wish to isolate and marginalise.First immerse people in the cult-like atmosphere and tell them that they are now to regard work as ""FUN"".Second, let them know that they now ""CHOOSE"" their attitude - if they are unhappy in any way (regardless of them doing their work well or not), they are ""LETTING THE TEAM DOWN"" and not complying with the obligation to ""MAKE WORK FUN"".Third, while the majority of victims or workers, however you choose to view your prey, swallow the ""WORK IS FUN"" message and display the behaviour of sea lions clapping to get a mouthful of FISH, you can point to those who have shown a small streak of individual identity and are not HAVING FUN AT WORK and use the Enron-style message that they ""just don't get it"".In this way, the resistant individual can be said to be ""incompatible with our mission and values"", ""bad for morale"" or just ""out of step"".In this way, the ""FUN-LOVING"" workers, who have now taken on the costume of ""FORCED FALSE FUN"" can be set against them.Of course this will compound their unhappiness and isolate them further until they are totally marginalised and can be tossed on the scrapheap or forced to resign.This book is useful then, if you wish to convince idiots that their ""WORK IS FUN"".Just don't try it on a group of people with a brain between them who might take their work seriously.They might tell you to stick your ""FISH"" where the sun doesn't shine"	0
"This is a tough review to write because I felt the authors made a good effort in the writing of the book and explanations of the Spring Framework. Writing a book is no small feat, and technical books are a special beast.With that last statement in mind, this is were the book sadly falls short. For one, the source code available online is a significant rewrite of the books' code. The authors explain ( on the publisher site ) that this is because they learned better ways and techniques to implement the samlpe application after the book went to print. While improvement is always good, this presents two problems. 1. The sample application is now out of sync with the material. Not a good thing for those trying to learn, as you require more effort to study in tandem with the book. Also, and this is not to disparage the authors skill, but I buy books because I am expecting experienced, if not expert advice. If a small, sample application needs rewriting, perhaps they should write about something else?Further down this road, the sample application has errors that prevent it from compiling. I suspect that the final build file was not tested, or it was a case of ""well, it compiles on my machine"". There were several dependencies that required changes to the build file so it could be compiled. Thankfully, I use Eclipse and imported the project. Eclipse immediately informed me of missing dependencies, which I resolved by getting those jars on the build path and in the build file so they would be deployed in the war archive. Examples are:jakarta-commons/collections, and several core Spring jars relating to DAO and database access.For an experienced developer, familiar with ant and a good IDE, it was not a lot of trouble to get it running, it just did not give me a good impression.Bonus info for anyone switching the database out to postgresql: First, no matter what DB you swap in, you'll need to change a few hard coded references in the build file. I made property variables which I placed in build.properties. Then you will need to change the class User to something else ( and of course anything in the app that references it. ). Another great reason to use Eclipse. Why you must change it, is User is a reserved keyword in postgresql and you will get databases errors because you can't name a table User"	0
"This book is best used for viewing its selection of Master Drawings many of which are superb. However, its written text is filled with multitudes of factual errors and pseudo-intellectualizations. It should be noted that this book was not written by Hale; it was written by one of his students and lacks the quality of Hale's classic, ""Drawing Lessons from the Great Masters."" Instead, this book loses itself in unimportant, erroneous anatomical minutia which will baffle, confuse, frustrate and ultimatly demoralize the motivated reader. It greatly misses the mark in both clarity and presentation of important anatomical theory"	0
"Ms Howard is usually a dependable author but she really let her readers down with this one.  It's OK to expect a reader to suspend disbelief every now & again but one would have to have a frontal lobotomy to buy what she is selling in this one.  So disappointing, especially after her wonderful & hilarious ""To Die For.""  The trees (for paper) that gave up their lives for this book die for nothing this time.  "	0
This was an inspiring book for a horse lover and Christian.  Everything was as advertised	1
"If you are looking for a ""feel good"" book about baby boomer retirement, this book may have some value for you. But if you are looking for specific in-depth how-to, this book isn't the answer. Each segment-work, dreams, travel-is short and doesn't address many relevant issues.For example, regarding the work chapter, the author postulates that there will be a work shortage and companies will hire baby boomers to fill the gap. Well, that is speculative with globalism. Those jobs may be outsourced. Most are low paying. Many of my highly qualified friends are unable to find jobs despite retraining. Yes, there may be Wal-Mart jobs but is this your retirement dream? The work chapter sounds a lot like most ""Do what you love"" books. But doing what you love is often best as a hobby not to furnish needed income. These and other issues facing boomers who want meaningful work into their 70s are not addressed. I could pick apart other chapters in the same manner"	0
Was not impressed.  Narrow scoped, personal reflections, applications limited.  I also read the male companion book Wild at heart and was also not impressed	0
This book immodestly bills itself as a unique compilation of useful information for architects.  It is devided into six sections dealing with Measure and Drawing, Proportion and Form, Codes and Guidelines, Systems and Componenets, Characteristics of Materials and a catchall final section entitled a Compendium.  In turn, each section is illustrated with wonderful line drawings and quick run downs of architectural details.I am doubtful that any architect or engineer would find this book helpful in their practice.  The level of detail their professions require cannot be found in this slender volume.  They rely on detailed, encyclopedic volumes of construction details.  This book is meant for architectural enthusiasts and non-professionals.  I would recommend it highly for an owner who is overseeing a bulding project.  This book is helpful in translating architectural and building terms into easily understood language. This volume would also be helpful to entry level general contractors, interior designers and people trying to design their own homes.  This book is a well written introduction to an area of study that requires years of training and access to very detailed volumes of architectural details.	1
Sedgwick's character is a perverted boring loser.  Worst book I've ever read--well, almost read.  Talentless.  End of story	0
