text	labels
The transfers of the 5 movies found here are worth every penny! We grew up watching these on Philadelphia's channel 17 with show host Dr. Shock and the Creature Double Features back in the mid 70's. The pictures were always so dark and grainy, WELL NOT ANYMORE FOLKS! Universal has done an Amazing job on the picture clean-up and sound restoration! Bright and crystal clear along with wonderful sound! Also a very nice fold out DVD holder! The theatrical trailers were transferred in their original release condition which will allow you to compare how good of a job was done on the restoring of the movies to DVD! Don't wait to long in purchasing your set at a cheap price, they have already disappeared off of store shelves in our area!	1
Do not buy this DVD as it is a total waste of money,Joe Walsh canbe heard on a much better DVD with Eagles Farewell 1 Melbourne,Au. This DVD DOES NOT have DTS 5.1 Audio format as advertised	0
"They spend the first half of this movie saying how great the Ultimate Warrior was.  The journey is awesome!  Then all of the sudden, the paid WWE guys just began to bad-mouth the Warrior. Maybe he did have questionable judgment - but why are they trying to make us feel bad about someone we loved?  They take some very low blows. They say that the Warrior was a bad wrestler. Actually he seemed just fine to me when I was young, and I really can't distinguish one's ability from the other. They just all gang up on him and make outragious allegations. Vince says quickly that the reason why the Ultimate disappeared for 3 years was because he failed a drug test. As soon as he says this, they fade to black then come back with a new issue. What drug use? Which drugs? Presumably they're talking about steroids. But what about that high and mighty Hulk Hogan with his admitted drug use. Let's not talk about that - let's just keep ganging up on the Warrior. They completely ridicule him changing his name to the Warrior. And they also just try to badmouth him so much. Who cares that none of the wrestlers liked him? I don't! He excited the heck out of me way more than any of the dorks who say bad things about him -including Hulk. And oh yeah - they don't even let the Warrior defend himself.  Why did I have to find out from IMDB.com that he was asked to appear but declined? Why don't they address this?  This ""docu"" is more slanted than ""Fahrenheitt 911"" Every wrestling and Ultimate Warrior fan will start out loving this docu then hating it. It just leaves you with a bitter taste in your mouth, tired of all of the whining and bitter trash talking."	0
"I should say up front that I have never played chess, nor do I understand the game. But I remember being intrigued about the film when I saw the theatrical trailer. Was I intrigued because of the fact that the film was about a young boy with a special gift of a game? Was it the intense images of competition? Was it a curiosity about the game of chess itself and how it was played? Or was it about a deeper struggle within the boy? The answer is all of the above. ""Searching For Bobby Fischer"" is an excellent family film for all. I am living proof that even those who don't know jack about chess will love this movie. It is a movie not just about chess, but about acceptance, the bond of love and friendship, compassion for others, and not being afraid to be who you want to be. The balance of drama with edge-of-your-seat competition makes this a truly remarkable film.Max Pomeranc plays the young and sensitive Josh Waitzkin, a pint-sized seven-year old with a cute lisp, who becomes fascinated with the ""lower class"" men playing chess in a New York park. He watches the men, his eyes shifting with each move of the pieces. He convinces his mother to go to the park with him, where he plays a game of chess with an older gentleman. It is there that Josh's mother realizes her son has a knack for chess. Also noticing Josh is the fast-talking park chess player, Vinnie (a funny and great performance from Laurence Fishburne) who befriends the boy and eventually teaches him a thing or two about the game. After a match with Josh, Josh's father (played by Joe Mantegna) realizes his son's special gift and enlists the help of a stern but knowledgeable chess teacher named Bruce (played by Ben Kingsley) to make Josh an even better chess master. Bruce sees a young Bobby Fischer in Josh and cannot resist the temptation to take him under his wing and perhaps fill the void that Bobby Fischer left in the country after his mysterious disappearance. Through all the technical strategies of the game being learned, Josh and Bruce develop a good friendship and with Bruce's help, combined with his own special gift, Josh excels in chess tournaments and collects a shiny bundle of trophies. But there may be a test even harder than becoming a grand master of chess.We've all heard of parents trying to live their dreams through their children, especially when a parent sees a special gift in their child. But what happens when the thrill of competition and the persistent need to win cloud the parents' mind too much? And what happens when a beloved teacher wants you to be a carbon copy of someone or something that you're not? These are tests that run way deeper for Josh Waitzkin than any chess tournament. Josh learns quickly how addictive competition is and how obsessed people can become with a certain game. In his own way, the insightful Josh shows his father and teacher that he is not one of these people who lives and breathes chess like Bobby Fischer did. In the process, Josh pushes his father and teacher's feelings about him and the game of chess to the brink where they find they have to rethink their feelings. It's a matter of what is more important: chess competition, or love? Through it all, the three of them find that they can tolerate losing at chess but cannot tolerate losing something more dear; love and friendship for each other no matter what. There are some truly touching scenes in the film from the lecture Josh receives from his dad in the pouring rain, to the visit from his teacher at the Chicago tournament which comes toward the end of the show. But amongst the competition and drama, there are some nice comic scenes from Vinnie's trash talking against the others in the park, to the scene where the all the parents are literally locked up away from their kids during a tournament because they are so obnoxious, to the humorous appearance by William H. Macy when he offers to get Josh's dad a tuna sandwich. The climax comes in the huge chess championship at the end of the film where Josh takes Bruce and Vinnie's teachings along with his own style of playing and faces off against another chess prodigy named Jonathan. Jonathan is a boy I feel sorry for in the film. Playing since he was four years old, all Jonathan knows is chess and goes about life with a glazed expressionless look on his face. Perhaps this boy is proof of what living for a game can do to you, especially when you cannot just be a kid.The acting is terrific. Ben Kingsley, Max Pomeranc and Joe Mantegna give us a very touching and real performance in this film. It's too bad that Pomeranc did not act much since this film because he was a great little actor and very convincing. A nice touch to the movie is the real black and white film clips of a very young Bobby Fischer talking about and playing chess with Pomeranc narrating along. It gives us a bit of the history of the world's greatest chess player and also gives us the implication that people were searching for a new chess hero to fill the void when Bobby Fischer vanished; enter Josh Waitzkin.""Searching For Bobby Fischer"" is one of those stand-up-and-cheer films that is perfect fun for the whole family with some valuable lessons to be learned as well! This is a movie you'll want to watch time and time again."	1
This movie was only slightly better than your basic horror cliche; the nuclear testing/mutant premise seemed promising, but all the main characters were stupid/annoying.  Seemingly to make up for the lack of interesting characters, the script-writers/director threw in lots of unnecessary gore.  For the most part, though, the special effects were at least well-done; however, a few of the effects were somewhat misguided.  For instance, blood on bodies that have been sitting out for awhile in the hot desert is red; wouldn't it dry to brown very shortly in that kind of heat??  Acting was mediocre.  I've never seen the original, so I cannot say whether this is better or worse.  The movie is not for the faint-of-heart simply because of the gore, but it definitely wasn't very scary.  Two stars	0
King Vidor's rather contrived adaptation of Tolstoy's epic riddled with miscast actors, a boring script, and a hurried screenplay.  In short, another one of those 50-year old films that have outlived their audience to slowly sink into Hollywood's vaults of oblivion.The story follows the main characters of Tolstoy's novel such as Natasha (Audrey Hepburn), Prince Andrei (Mel Ferrer), and Pierre (Henry Fonda.)  The film is too short for the novel and the acting stinks: particularly that of Henry Fonda as Pierre.  Henry Fonda is as stiff as fossilized wood in this film; his pondering stare and preaching voice reminds me of a bad Charleton Heston film.  As far as the battle scenes so greatly praised by the main reviewer, they are as sparse as they are realistic.  All of the costumes and props in this film are horribly fake.In short, the only thing that remains impressive about this film is the fact that Hollywood bothered to put it on DVD.  Apart from that, the acting is as worthless as the contrived screenplay and shallow dialogue.  Don't buy this film	0
"So this was the breakout movie for Mira Sorvino, the one that earned her an Academy Award for Best Supporting Actress in 1995. This movie, and Mira Sorvino's performance in it, was so bad that after it was over, I just had to find out who her competitors were for the 1995 Best Supporting Actress category. Let's see.....according to Wikipedia they were: Kathleen Quinlin (""Apollo 13"" - a fairly standard worried-wife-of-astronaut-in-danger role), Mare Winningham (""Georgia"" - did not see this one), Joan Allen (""Nixon"" - did not see, but how hard can it be to play the wooden Pat Nixon?), and Kate Winslet (""Sense and Sensibilities"" - did not see either, but Ang Lee was robbed by the Academy here also).It only proves just how few good roles there are for women in today's Hollywood that Mira Sorvino could win an Oscar for this sort of performance.And I was beginning to warm up to her, too - she was great in ""Romy and Michele's High School Reunion"", and terrific also in ""Beautiful Girls"".  So, what exactly is so bad about this movie?  Here's a brief list:1. Mira Sorvino plays the entire movie in a high-pitched falsetto that sounds like her voice is breaking. Another reviewer described this as similar to listening to fingernails on a blackboard. Maybe in 1995, because she was new, the Academy didn't realize that this wasn't her real voice and took pity on her....2. Stupid plot device of the Greek Chorus.3. Stupid happy ending with a twist.4. Lots of profanity and dialogue that includes explicit descriptions of sex acts done in pornography movies.....while this movie is not itself a porn flick, the explicit details of the porn industry included in the dialogue definitely makes it NOT a movie for families to watch.  5. Odd sight of a very old and wrinkly Woody Allen (with dyed hair and bald spot) making out with TWO women young enough to be his granddaughters.....all right, so I'm just jealous - Woody still looks gross....6. Cliched, poorly developed characters, a plotline that goes around in circles, and lots and lots of pointless, unfunny dialogue.In summary, this movie is bad, bad, bad......"	0
This Joe d'Amato film takes the Women in Prison genre one step deeper into the abyss of sleaze, bordering on pornography. The plot, or lack thereof, is typical: woman goes into jail undercover to unearth the guards  corruption. To make the film last 80 minutes, Joe d'Amato fills the story  with lesbianism, vile tortures, naked women in rat infested sewers, and  plenty of gratuitous sex. I gave this movie 1 star because there is no  option for a 0 star rating. Even hardcore fans of Euro sex queen Laura  Gemser will find this one a total bore	0
"i haven't seen this movie in years so when i saw it at block-busters i had to rent it. my favorite part is when tom essexplayed by the handsome dana ashbrook put a screwdriver threw thehead and the head said ""get that damn screwdriver out of my head"" i couldn't stop laughing it was so funny. i never really liked many horror-comedy movies but this one is really good.the best actor in this movie was dana ashbrook, he was not onlyfunny but he was very brave and sexy to boot.if not many people liked this movie at lease watch it for his performance because he was amazing. he makes me want to watch itover and over and over again"	1
More time could have been spent in Ney York City for this movie. Like with Friday The 13th Part Seven: The New Blood, all of the good gore scenes were cut out. But still, this is a terrible movie and I am willing to bet that not even gore will help it be better than part five	0
